DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6160	P8586	P6218	P8587	P8587S1	P6211	P5455	P1088	P1088S1	P6216	P5457	P5673	P5674	P6223	P1101	P5461	P5461S1	P5461S2	P5461S3	P4693	P6167	P6180	P6180S1	P6180S2	P8610	P8610S1	P8610S2	P6229	P6229S1	P8612	P8612S1	P8612S2	P6238	P8614	P8614S1	P8614S2	P6202	P781	P781S1	P781S2	P782	P783	LLAVEHOG	FEX_C
6003153	3	1	3	1	1						1	3			1		1	1		2	2	2	3	10	2			2					2				2				1	1				60031531	310.030334748197
6003154	1	1	1	1	2	9	11	5	5	1																																				60031541	423.836666016037
6003154	2	1	2	1	2	4	11	5	5	1																																				60031541	423.836666016037
6003154	3	1	3	1	1						2	2			1		1	1		2	2	2	1	20	2			2					2				2				1	2				60031541	423.836666016037
6003155	1	1	1	1	2		8	3	3	1																																				60031551	537.642997283878
6003155	2	1	2	1	1						7	3	3	5	1		1						5	8	2			2					2				1	1000000	3	1						60031551	537.642997283878
6003155	3	1	3	1	1						2	5			1		1	1		1	1	2	5	5	2			2					2				2				1	2				60031551	537.642997283878
6003155	4	1	4	1	1						2	3			2	2	1	4		1	1	1	3	8	2			2					2				2				1	2				60031551	537.642997283878
6003155	5	1	5	1	1						1	1			2	2	1	4		1	1	1	3	8	2			2					2				2				1	2				60031551	537.642997283878
6003156	1	1	1	1	2	9	11	4	4	1																																				60031561	198.17735338081
6003156	2	1	2	1	2	9	11	4	4	1																																				60031561	198.17735338081
6003156	3	1	3	1	1						1	1			2	2	1	4		1	1	1	1	10	2			2					2				2				1	1				60031561	198.17735338081
6003156	5	1	5	1	2	9	11	5	5	1																																				60031561	198.17735338081
6003157	1	1	1	1	2		9	3	3	3																																				60031571	335.178663429952
6003157	2	1	2	1	2	9	9	3	3	3																																				60031571	335.178663429952
6003157	3	1	3	1	1						3	8			1		1	2		2	2	2	1	10	2			2					2				2				4					60031571	335.178663429952
6003157	4	1	4	1	1						3	6			1		1	2		2	2	2	1	10	2			2					2				2				1	3				60031571	335.178663429952
6003158	1	1	1	1	2		9	3	3	1																																				60031581	423.836666016037
6003158	2	1	2	1	2	4	9	3	3	1																																				60031581	423.836666016037
6003158	3	1	3	1	1						2	2			2	2	1	4		1	1	1	1	10	2			2					2				2				1	2				60031581	423.836666016037
6003160	1	1	1	1	1						5	3	3	1	2		1						1	10	2			2					2				2									60031601	198.17735338081
6003160	2	1	2	1	2	9	9	4	4	1																																				60031601	198.17735338081
6003160	3	1	3	1	1						2	2			1		1	1		2	2	2	1	5	2			2					2				2				1	4				60031601	198.17735338081
6003160	4	1	4	1	2		5	11		1																																				60031601	198.17735338081
