DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5095	P5100	P5120	P8692	P8692S1A1	P8692S2	P5110	P5130	P5140	P5160	P5160S1	P5160S1A1	P5160S2	P5160S2A1	LLAVEHOG	FEX_C
5000318	1	1	591	1	3								200000	2					50003181	1713.3819078906
5000319	1	1	591	1	4							250000		2					50003191	2239.33319387027
5000320	1	1	591	1	1		2				6000000	100000		2					50003201	1753.5509181057
5000321	1	1	591	1	3								60000	2					50003211	1713.3819078906
5000322	1	1	591	1	3								300000	2					50003221	2199.16418365516
5000323	1	1	591	1	3								300000	2					50003231	1774.58723276621
5000324	1	1	591	1	1		1	2		2	60000000	500000		2					50003241	2101.97831618611
5000325	1	1	591	1	3								180000	2					50003251	2199.38630057154
5000326	1	1	591	1	5							300000		2					50003261	1774.58723276621
5000327	1	1	591	1	4							600000		2					50003271	1774.58723276621
5000328	1	1	591	1	4							200000		2					50003281	2199.16418365516
5000330	1	1	591	1	4							200000		2					50003301	2138.91656290371
5000331	1	1	591	1	2	450000	1	1	1		120000000	650000		2					50003311	907.378121490658
5000332	1	1	591	1	1		1	1	1		35000000	600000		2					50003321	996.498034489947
5000333	1	1	591	1	1		1	1	1		120000000	500000		2					50003331	730.010203088065
5000334	1	1	591	1	1		1	1	1		120000000	700000		2					50003341	988.535481466164
5000336	1	1	591	1	3								530000	2					50003361	1154.24077192259
5000339	1	1	591	1	1		1	2		3	130000000	800000		2					50003391	981.843455349545
5000340	1	1	591	1	3								200000	2					50003401	1131.4410469459
5000342	1	1	591	1	1		1	1	1		150000000	500000		2					50003421	1015.27845341892
5000343	1	1	591	1	3								400000	2					50003431	876.775459052852
5000344	1	1	591	1	3								300000	2					50003441	1131.4410469459
5000345	1	1	591	1	4							300000		2					50003451	2092.67711273868
5000346	1	1	591	1	3								200000	2					50003461	2032.42949198722
5000347	1	1	591	1	4							300000		2					50003471	2455.13385772679
5000349	1	1	591	1	3								70000	2					50003491	2262.88209389181
5000350	1	1	591	1	3								420000	2					50003501	1183.63330138824
5000351	1	1	591	1	3								350000	2					50003511	2308.48154384519
5000352	1	1	591	1	2	500000	1	1	1		180000000	400000		2					50003521	1023.54071501764
5000353	1	1	591	1	3								350000	1	2		1	30000000	50003531	1097.37530238208
5000355	1	1	591	1	4							100000		2					50003551	933.560548897327
5000356	1	1	591	1	3								150000	2					50003561	926.965190937431
5000357	1	1	591	1	1		1	1	1		50000000	200000		2					50003571	806.481382980914
5000358	1	1	591	1	3								150000	2					50003581	835.290462161777
5000359	1	1	591	1	3								150000	2					50003591	1044.59344254273
5000360	1	1	591	1	5							200000		2					50003601	474.542672400855
5000362	1	1	591	1	3								300000	2					50003621	1853.93038187486
5000363	1	1	591	1	3								80000	2					50003631	1670.58092432355
5000367	1	1	591	1	3								270000	2					50003671	937.748310051835
5000369	1	1	591	1	4							60000		2					50003691	1065.12872127347
5000371	1	1	591	1	4							120000		2					50003711	591.598385746478
5000372	1	1	591	1	1		1	1	1		60000000	350000		2					50003721	745.91402670138
5000373	1	1	591	1	3								160000	2					50003731	1670.58092432355
5000374	1	1	591	1	3								145000	2					50003741	806.481382980914
5000376	1	1	591	1	3								150000	2					50003761	982.648889078187
5000377	1	1	591	1	3								83000	2					50003771	966.817806770578
5000378	1	1	591	1	4							150000		2					50003781	1006.77868710255
5000379	1	1	591	1	4							500000		2					50003791	825.388760701001
5000381	1	1	591	1	3								400000	2					50003811	919.766566080382
5000382	1	1	591	1	1		1	1	1		60000000	400000		2					50003821	1185.91056847186
5000383	1	1	591	1	1		1	2		2	100000000	600000		2					50003831	1004.85373208512
5000384	1	1	591	1	3								400000	2					50003841	1387.59955719902
5000385	1	1	591	1	3								370000	2					50003851	966.214395012088
5000388	1	1	591	1	3								370000	2					50003881	852.893714123175
5000389	1	1	591	1	3								500000	2					50003891	895.151195716965
5000391	1	1	591	1	1		1	2		2	100000000	500000		2					50003911	895.151195716965
5000393	1	1	591	1	1		1	1	1		80000000	600000		2					50003931	876.553705384403
5000394	1	1	591	1	1		1	1	1		150000000	500000		2					50003941	1069.89905134939
5000396	1	1	591	1	3								475000	2					50003961	691.100677721349
5000398	1	1	591	1	3								350000	2					50003981	911.191721651649
5000399	1	1	591	1	1		1	2		2	90000000	700000		2					50003991	919.383389795352
5000400	1	1	591	1	1		1	2		2	99	99		2					50004001	895.151195716965
5000401	1	1	591	1	3								300000	2					50004011	938.364056412943
5000403	1	1	591	1	1		1	1	1		70000000	300000		2					50004031	961.640871389142
5000404	1	1	591	1	1		1	1	1		45000000	400000		2					50004041	1046.72803739388
5000405	1	1	591	1	1		1	1	2		99	99		2					50004051	915.193042457436
5000407	1	1	591	1	4							100000		2					50004071	1147.0938990522
5000409	1	1	591	1	1		1	2		2	70000000	500000		2					50004091	714.271691676856
5000410	1	1	591	1	1		1	2		2	250000000	1000000		2					50004101	980.238361721704
5000412	1	1	591	1	1		1	2		2	300000000	1400000		2					50004121	1111.92533127662
5000414	1	1	591	1	1		1	1	1		80000000	400000		2					50004141	1070.05102596786
5000419	1	1	591	1	1		1	1	1		100000000	350000		2					50004191	1142.60420187251
5000422	1	1	591	1	3								1000000	2					50004221	911.191721651649
5000423	1	1	591	1	3								350000	2					50004231	1105.39692609007
5000425	1	1	591	1	3								400000	2					50004251	1105.39692609007
5000428	1	1	591	1	3								400000	2					50004281	881.127229007349
5000429	1	1	591	1	1		1	1	2		200000000	2000000		2					50004291	1387.59955719902
5000430	1	1	591	1	1		1	1	1		200000000	2000000		2					50004301	876.553705384403
5000431	1	1	591	1	3								200000	2					50004311	318.533174363305
5000432	1	1	591	1	3								300000	2					50004321	520.457205778944
5000433	1	1	591	1	3								380000	2					50004331	334.667023910785
5000435	1	1	591	1	1		2				25000000	150000		2					50004351	334.667023910785
5000436	1	1	591	1	4							180000		2					50004361	498.55490613554
5000437	1	1	591	1	3								250000	2					50004371	422.039057301641
5000438	1	1	591	1	3								500000	2					50004381	426.277758765705
