DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5095	P5100	P5120	P8692	P8692S1A1	P8692S2	P5110	P5130	P5140	P5160	P5160S1	P5160S1A1	P5160S2	P5160S2A1	LLAVEHOG	FEX_C
5011012	1	1	591	1	4							180000		2					50110121	131.71688112243
5011013	1	1	591	1	1		1	1	2		30000000	200000		2					50110131	109.179790864388
5011015	1	1	591	1	4							450000		2					50110151	215.199778964492
5011016	1	1	591	1	3								200000	2					50110161	87.8022336239292
5011017	1	1	591	1	3								200000	2					50110171	139.851443887643
5011018	1	1	591	1	1		1	1	1		200000000	600000		2					50110181	222.013930381639
5011019	1	1	591	1	3								250000	2					50110191	248.292117220696
5011020	1	1	591	1	1		1	1	1		60000000	250000		2					50110201	233.30615029734
5011021	1	1	591	1	1		1	1	1		150000000	200000		2					50110211	215.199778964492
5011022	1	1	591	1	3								370000	2					50110221	239.210703572203
5011023	1	1	591	1	4							400000		2					50110231	181.477171692199
5011024	1	1	591	1	3								500000	2					50110241	272.303041828407
5011025	1	1	591	1	3								500000	2					50110251	282.771479768252
5011027	1	1	591	1	3								150000	2					50110271	336.534140555462
5011033	1	1	591	1	4							230000		2					50110331	53.4253853895401
5011034	1	1	591	1	4							200000		2					50110341	122.858517759609
5011035	1	1	591	1	4							100000		2					50110351	74.4560043163477
5011036	1	1	591	1	1		1	1	2		49000000	500000		2					50110361	319.009607621655
5011037	1	1	591	1	1		1	1	1		65000000	450000		2					50110371	250.914937437058
5011038	1	1	591	1	4							150000		2					50110381	88.4788246567107
5011039	1	1	591	1	1		1	1	1		50000000	150000		2					50110391	80.9193626434047
5011041	1	1	591	1	3								370000	2					50110411	193.443244737153
5011044	1	1	591	1	4							150000		2					50110441	74.4560043163477
5011045	1	1	591	1	1		1	2		2	200000000	600000		2					50110451	70.1068785343412
5011046	1	1	591	1	3								700000	2					50110461	183.6838543312
5011047	1	1	591	1	4							800000		2					50110471	130.483618899771
5011048	1	1	591	1	4							200000		2					50110481	91.2907867268196
5011050	1	1	591	1	1		1	1	1		99	99		2					50110501	230.390420124448
5011051	1	1	591	1	1		1	1	1		140000000	700000		2					50110511	241.496164729007
5011052	1	1	591	1	3								350000	2					50110521	276.157878959498
5011053	1	1	591	1	1		1	1	1		70000000	350000		2					50110531	262.543651422454
5011054	1	1	591	1	1		1	1	1		30000000	200000		2					50110541	314.777606328123
5011055	1	1	591	1	2	350000	1	1	1		80000000	450000		2					50110551	254.715999569322
5011056	1	1	591	1	3								250000	2					50110561	294.059576055745
5011057	1	1	591	1	1		1	1	2		30000000	100000		2					50110571	87.8022336239292
5011058	1	1	591	1	1		1	1	5		25000000	300000		2					50110581	125.460723502984
5011059	1	1	591	1	1		1	1	2		99	150000		2					50110591	102.506676210597
5011060	1	1	591	1	4							100000		2					50110601	97.2356977386574
5011061	1	1	591	1	1		1	1	1		50000000	150000		2					50110611	97.2356977386574
5011062	1	1	591	1	4							100000		2					50110621	99.2913087657742
5011063	1	1	591	1	4							100000		2					50110631	158.375147484847
5011064	1	1	591	1	1		1	1	1		40000000	100000		2					50110641	53.4253853895401
5011065	1	1	591	1	4							120000		2					50110651	130.557348104847
5011066	1	1	591	1	1		2				30000000	100000		2					50110661	156.611497501428
5011067	1	1	591	1	1		2				2000000	150000		2					50110671	100.177656125289
5011068	1	1	591	1	1		2				3000000	150000		2					50110681	167.208897678084
5011069	1	1	591	1	1		1	1	1		30000000	40000		2					50110691	88.4788246567107
5011070	1	1	591	1	1		1	1	2		30000000	100000		2					50110701	77.9445574192381
5011071	1	1	591	1	1		1	1	1		5000000	150000		2					50110711	79.7824260210643
5011072	1	1	591	1	1		2				10000000	40000		2					50110721	135.233940260969
5011073	1	1	591	1	1		1	1	2		300000000	800000		2					50110731	54.4805832577396
5011074	1	1	591	1	1		2				10000000	200000		2					50110741	125.053497118658
5011075	1	1	591	1	4							250000		2					50110751	100.724250841548
5011076	1	1	591	1	4							100000		2					50110761	130.557348104847
5011077	1	1	591	1	1		1	2		2	250000000	9000000		2					50110771	80.9193626434047
5011078	1	1	591	1	4							80000		2					50110781	160.996128613853
5011079	1	1	591	1	4							1000000		2					50110791	96.9271096239333
5011080	1	1	591	1	4							400000		2					50110801	109.179790864388
5011081	1	1	591	1	1		1	1	1		99	500000		2					50110811	185.358257182924
5011081	2	1	591	2	3								440000	2					50110812	185.358257182924
5011082	1	1	591	1	3								400000	2					50110821	269.350765190976
5011083	1	1	591	1	4							300000		2					50110831	80.9193626434047
5011084	1	1	591	1	4							250000		2					50110841	99.2913087657742
5011085	1	1	591	1	1		1	1	1		40000000	40000		2					50110851	132.612959131964
5011086	1	1	591	1	4							180000		2					50110861	125.939844478173
5011087	1	1	591	1	4							100000		2					50110871	54.4805832577396
5011088	1	1	591	1	3								280000	2					50110881	267.774351568063
5011089	1	1	591	1	1		1	1	2		70000000	300000		2					50110891	97.9639013806104
5011092	1	1	591	1	1		1	2		2	150000000	800000		2					50110921	243.811134701724
5011093	1	1	591	1	2	200000	2				25000000	150000		2					50110931	133.02018551629
5011094	1	1	591	1	4							50000		2					50110941	97.9639013806104
5011096	1	1	591	1	1		1	1	1		50000000	120000		2					50110961	72.6704500375437
5011097	1	1	591	1	1		1	1	2		300000000	600000		2					50110971	208.440372937342
5011098	1	1	591	1	4							100000		2					50110981	132.612959131964
5011104	1	1	591	1	3								160000	2					50111041	276.386512390661
5011105	1	1	591	1	3								150000	2					50111051	233.17616468213
5011106	1	1	591	1	3								140000	2					50111061	220.53377098147
5011107	1	1	591	1	4							300000		2					50111071	257.947147997085
5011108	1	1	591	1	1		1	1	1		50000000	300000		2					50111081	211.348626462375
5011109	1	1	591	1	3								250000	2					50111091	181.989685650964
5011110	1	1	591	1	3								280000	2					50111101	149.454694160022
5011111	1	1	591	1	1		1	1	5		80000000	300000		2					50111111	180.702844536602
5011113	1	1	591	1	3								250000	2					50111131	232.297924893874
5011114	1	1	591	1	1		1	1	2		80000000	400000		2					50111141	203.939903694877
5011115	1	1	591	1	3								100000	2					50111151	226.450836993209
5011116	1	1	591	1	1		1	1	1		70000000	300000		2					50111161	154.84688377106
5011117	1	1	591	1	1		1	1	1		70000000	300000		2					50111171	173.736385388897
5011118	1	1	591	1	3								120000	2					50111181	207.355163812258
5011119	1	1	591	1	1		1	1	1		60000000	300000		2					50111191	214.777145668541
5011120	1	1	591	1	2	600000	1	2		2	80000000	350000		2					50111201	217.638256319571
5011121	1	1	591	1	3								200000	2					50111211	266.200448259153
5011122	1	1	591	1	3								200000	2					50111221	214.777145668541
5011123	1	1	591	1	1		1	1	1		40000000	200000		2					50111231	258.266107373771
5011124	1	1	591	1	1		1	1	1		50000000	250000		2					50111241	222.027349758164
5011125	1	1	591	1	3								200000	2					50111251	257.947147997085
5011126	1	1	591	1	3								180000	2					50111261	240.426368771752
5011127	1	1	591	1	3								180000	2					50111271	214.777145668541
5011128	1	1	591	1	1		1	1	1		150000000	700000		2					50111281	194.672424731611
5011129	1	1	591	1	3								230000	2					50111291	254.117334970063
5011130	1	1	591	1	3								300000	2					50111301	266.200448259153
5011131	1	1	591	1	3								250000	2					50111311	230.280650020231
5011132	1	1	591	1	3								450000	2					50111321	230.96478681599
5011133	1	1	591	1	1		1	1	1		40000000	200000		2					50111331	228.787071243537
5011134	1	1	591	1	1		1	1	2		70000000	300000		2					50111341	170.680430028188
5011135	1	1	591	1	3								250000	1	1	8000000	2		50111351	276.66512638736
5011136	1	1	591	1	3								250000	2					50111361	230.280650020231
5011137	1	1	591	1	2	2100000	1	2		2	100000000	400000		2					50111371	220.53377098147
5011138	1	1	591	1	1		1	1	1		20000000	200000		2					50111381	193.502936276822
5011139	1	1	591	1	1		1	1	2		35000000	250000		2					50111391	194.672424731611
5011140	1	1	591	1	1		2				15000000	100000		2					50111401	222.657882085151
5011141	1	1	591	1	1		1	1	1		70000000	400000		2					50111411	176.273405718023
5011142	1	1	591	1	1		1	1	1		70000000	400000		2					50111421	239.548128983497
5011143	1	1	591	1	4							100000		2					50111431	248.67966903382
5011144	1	1	591	1	1		1	1	1		15000000	150000		2					50111441	222.657882085151
5011145	1	1	591	1	3								60000	2					50111451	194.672424731611
5011146	1	1	591	1	3								250000	2					50111461	230.280650020231
5011147	1	1	591	1	3								170000	2					50111471	202.295192666691
5011148	1	1	591	1	3								150000	2					50111481	180.335666175461
5011148	2	1	591	2	3								150000	2					50111482	180.335666175461
5011149	1	1	591	1	4							200000		2					50111491	209.975143004504
5011150	1	1	591	1	1		1	1	3		15000000	200000		2					50111501	237.960600358044
5011151	1	1	591	1	1		1	2		2	50000000	200000		2					50111511	214.977931747338
5011152	1	1	591	1	1		1	3			45000000	500000		2					50111521	236.03727533316
5011153	1	1	591	1	1		2				10000000	170000		2					50111531	233.376950760927
5011154	1	1	591	1	3								90000	2					50111541	233.376950760927
5011155	1	1	591	1	3								270000	2					50111551	227.783975071093
5011156	1	1	591	1	3								250000	2					50111561	194.672424731611
5011157	1	1	591	1	3								200000	2					50111571	183.896173653103
5011157	2	1	591	2	3								120000	2					50111572	183.896173653103
5011158	1	1	591	1	1		1	1	1		20000000	150000		2					50111581	167.529622851706
5011159	1	1	591	1	3								200000	2					50111591	219.040192204776
5011160	1	1	591	1	1		1	1	1		30000000	200000		2					50111601	194.672424731611
5011161	1	1	591	1	1		1	1	1		60000000	600000		2					50111611	206.724631485271
5011162	1	1	591	1	3								300000	2					50111621	211.881631006643
5011163	1	1	591	1	1		1	1	1		70000000	650000		2					50111631	181.989685650964
5011164	1	1	591	1	3								300000	2					50111641	206.724631485271
5011165	1	1	591	1	3								200000	2					50111651	248.67966903382
5011166	1	1	591	1	3								260000	2					50111661	208.05181797962
5011167	1	1	591	1	1		1	1	2		15000000	300000		2					50111671	188.325612471682
5011168	1	1	591	1	1		1	1	1		300000000	400000		2					50111681	155.967898702296
5011169	1	1	591	1	1		1	1	1		60000000	200000		2					50111691	277.679305088558
5011170	1	1	591	1	1		1	3			50000000	290000		2					50111701	205.555143030482
5011171	1	1	591	1	4							100000		2					50111711	221.488393630362
5011172	1	1	591	1	3								240000	2					50111721	233.540600384021
5011173	1	1	591	1	3								240000	2					50111731	186.791688315001
5011174	1	1	591	1	3								100000	2					50111741	233.376950760927
5011175	1	1	591	1	3								220000	2					50111751	53.8664746793764
5011176	1	1	591	1	1		1	2		2	100000	350000		2					50111761	54.9303844450181
5011177	1	1	591	1	1		1	1	1		70000000	300000		2					50111771	67.9309335417974
5011177	2	1	591	2	4							350000		2					50111772	67.9309335417974
5011178	1	1	591	1	1		1	1	1		50000000	200000		2					50111781	75.4215129572204
5011179	1	1	591	1	1		1	1	2		80000000	350000		2					50111791	81.7989351111108
5011180	1	1	591	1	1		1	1	1		35000000	230000		2					50111801	107.562332467952
5011181	1	1	591	1	4							200000		2					50111811	116.250984838571
5011182	1	1	591	1	4							200000		2					50111821	77.3781037203078
5011183	1	1	591	1	1		1	2		2	60000000	300000		2					50111831	53.8664746793764
5011184	1	1	591	1	3								200000	2					50111841	137.225190032208
5011185	1	1	591	1	4							300000		2					50111851	81.5874469995986
5011186	1	1	591	1	1		1	1	2		60000000	150000		2					50111861	92.4043730703223
5011187	1	1	591	1	3								120000	2					50111871	54.9303844450181
5011188	1	1	591	1	5							100000		2					50111881	115.18420671669
5011189	1	1	591	1	1		1	1	6		50000000	150000		2					50111891	131.076829865122
5011190	1	1	591	1	1		2				20000000	100000		2					50111901	202.326682167609
5011191	1	1	591	1	1		1	2		2	150000000	100000		2					50111911	81.5874469995986
5011192	1	1	591	1	1		1	1	1		200000000	250000		2					50111921	70.6856931379212
5011193	1	1	591	1	4							100000		2					50111931	100.111075110014
5011194	1	1	591	1	3								120000	2					50111941	62.5522586937564
5011195	1	1	591	1	1		1	2		2	40000000	250000		2					50111951	440.576271622645
5011196	1	1	591	1	1		2				35000000	300000		2					50111961	341.083284661324
5011197	1	1	591	1	4							250000		2					50111971	124.907043266211
5011198	1	1	591	1	4							150000		2					50111981	100.111075110014
5011199	1	1	591	1	4							300000		2					50111991	103.352989188661
5011200	1	1	591	1	1		1	1	2		50000000	200000		2					50112001	53.8664746793764
5011201	1	1	591	1	4							300000		2					50112011	158.779244109758
5011202	1	1	591	1	1		1	1	1		100000000	400000		2					50112021	53.8664746793764
5011203	1	1	591	1	2	185000	1	2		3	85000000	400000		1	1	11000000	2		50112031	392.03883313436
5011204	1	1	591	1	2	380000	1	1	1		75000000	350000		2					50112041	422.617067704447
5011206	1	1	591	1	3								430000	2					50112061	422.617067704447
5011232	1	1	591	1	3								800000	2					50112321	309.850164187064
5011233	1	1	591	1	3								350000	2					50112331	410.225729832575
5011234	1	1	591	1	1		1	1	1		15000000	200000		2					50112341	404.783109098216
5011235	1	1	591	1	3								200000	2					50112351	319.898136361576
5011236	1	1	591	1	5							250000		2					50112361	342.191622837729
5011237	1	1	591	1	3								200000	2					50112371	485.756231190627
5011238	1	1	591	1	3								700000	2					50112381	365.7096752503
5011239	1	1	591	1	3								200000	2					50112391	424.451210155055
5011240	1	1	591	1	1		2				20000000	50000		2					50112401	352.310513382271
5011241	1	1	591	1	3								380000	2					50112411	399.88816558955
5011242	1	1	591	1	1		1	2		4	120000000	400000		2					50112421	453.414772539962
5011243	1	1	591	1	1		2				25000000	100000		2					50112431	392.03883313436
5011244	1	1	591	1	1		1	1	2		30000000	200000		2					50112441	287.556677710911
5011245	1	1	591	1	3								300000	2					50112451	404.783109098216
5011246	1	1	591	1	3								260000	2					50112461	466.914448588239
5011248	1	1	591	1	1		1	2		2	30000000	140000		2					50112481	391.383947230187
5011249	1	1	591	1	4							400000		2					50112491	443.927461316162
5011250	1	1	591	1	3								300000	2					50112501	410.225729832575
5011251	1	1	591	1	1		1	1	1		200000000	300000		2					50112511	319.898136361576
5011252	1	1	591	1	3								350000	2					50112521	409.872791740591
5011253	1	1	591	1	1		1	1	7		45000000	400000		2					50112531	337.163211502506
5011254	1	1	591	1	3								180000	2					50112541	342.191622837729
5011255	1	1	591	1	1		1	1	1		25000000	140000		2					50112551	463.316921144243
5011256	1	1	591	1	3								350000	2					50112561	342.191622837729
5011257	1	1	591	1	3								172000	2					50112571	373.424743311989
5011258	1	1	591	1	3								200000	2					50112581	485.756231190627
5011259	1	1	591	1	3								180000	2					50112591	410.007056134092
5011260	1	1	591	1	1		1	1	1		170000000	900000		2					50112601	359.042488579522
5011261	1	1	591	1	3								200000	2					50112611	365.7096752503
5011263	1	1	591	1	3								150000	2					50112631	437.124567748881
5011264	1	1	591	1	4							300000		2					50112641	392.03883313436
5011265	1	1	591	1	3								220000	2					50112651	265.334109604788
5011266	1	1	591	1	1		1	1	2		80000000	600000		2					50112661	377.88427118191
5011267	1	1	591	1	3								160000	2					50112671	531.061436070576
5011268	1	1	591	1	1		1	1	1		150000000	600000		2					50112681	391.383947230187
5011269	1	1	591	1	1		1	2		2	81000000	300000		2					50112691	342.191622837729
5011270	1	1	591	1	4							350000		2					50112701	342.191622837729
5011271	1	1	591	1	3								400000	2					50112711	548.334733726096
5011272	1	1	591	1	4							450000		2					50112721	401.502837774729
5011273	1	1	591	1	1		1	1	1		50000000	350000		2					50112731	414.901999642758
5011274	1	1	591	1	1		1	3			250000000	600000		2					50112741	385.670257613629
5011275	1	1	591	1	1		2				30000000	250000		2					50112751	397.262780170236
5011276	1	1	591	1	2	270000	1	1	1		120000000	500000		2					50112761	323.349840235341
5011277	1	1	591	1	3								300000	2					50112771	437.124567748881
5011278	1	1	591	1	3								300000	2					50112781	437.124567748881
5011279	1	1	591	1	4							350000		2					50112791	392.03883313436
5011280	1	1	591	1	3								320000	2					50112801	322.241502058936
5011281	1	1	591	1	3								100000	2					50112811	400.394499598324
5011282	1	1	591	1	1		2				30000000	400000		2					50112821	323.249326055092
5011283	1	1	591	1	1		1	2		2	100000000	350000		2					50112831	375.768109009348
5011284	1	1	591	1	1		1	1	1		40000000	300000		2					50112841	410.225729832575
5011285	1	1	591	1	1		1	1	1		40000000	350000		2					50112851	402.157723678902
5011286	1	1	591	1	1		1	1	1		90000000	350000		2					50112861	400.394499598324
5011287	1	1	591	1	3								330000	1	1	74000000	2		50112871	455.17799662054
5011288	1	1	591	1	3								270000	2					50112881	319.898136361576
5011289	1	1	591	1	3								360000	2					50112891	404.783109098216
5011290	1	1	591	1	2	750000	1	1	1		100000000	600000		2					50112901	375.828565794842
5011291	1	1	591	1	1		1	1	1		45000000	350000		2					50112911	319.898136361576
5011292	1	1	591	1	1		1	1	1		60000000	350000		2					50112921	342.191622837729
5011293	1	1	591	1	1		1	1	1		5000000	250000		2					50112931	319.898136361576
5011294	1	1	591	1	3								270000	2					50112941	453.975433490674
5011295	1	1	591	1	3								280000	2					50112951	365.7096752503
5011299	1	1	591	1	2	50000	2				8000000	50000		2					50112991	89.5902420575551
5011301	1	1	591	1	3								140000	2					50113011	82.3264089840162
5011302	1	1	591	1	1		1	1	1		99	800000		2					50113021	89.5902420575551
5011303	1	1	591	1	3								500000	2					50113031	80.9342238012792
5011304	1	1	591	1	1		1	1	1		15000000	80000		2					50113041	71.2333072198922
5011305	1	1	591	1	1		1	1	1		30000000	150000		2					50113051	79.2313470085803
5011307	1	1	591	1	3								100000	2					50113071	87.7251341550401
5011308	1	1	591	1	1		1	1	1		5000000	100000		2					50113081	66.0966967126259
5011309	1	1	591	1	3								300000	2					50113091	76.306329789289
5011310	1	1	591	1	3								100000	2					50113101	88.6652078024282
5011311	1	1	591	1	3								430000	2					50113111	72.3703432410538
5011312	1	1	591	1	1		1	1	2		50000	150000		2					50113121	90.9970074018917
5011313	1	1	591	1	1		1	1	4		6000000	100000		2					50113131	122.333405409993
5011317	1	1	591	1	1		1	1	2		7000000	100000		2					50113171	112.396688501598
5011318	1	1	591	1	3								250000	2					50113181	90.7507343981857
5011320	1	1	591	1	1		1	1	1		8000000	130000		2					50113201	87.4963778123319
5011322	1	1	591	1	1		1	2		2	50000	500000		2					50113221	93.5580225747251
5011323	1	1	591	1	1		1	3			99	99		2					50113231	95.6496840042783
5011325	1	1	591	1	1		1	1	1		2500000	170000		2					50113251	101.099922620905
5011326	1	1	591	1	3								250000	2					50113261	74.2146683597358
5011328	1	1	591	1	1		2				6000000	150000		2					50113281	100.245784047334
5011329	1	1	591	1	3								450000	2					50113291	86.0390403396107
5011330	1	1	591	1	3								330000	2					50113301	80.726250242404
5011331	1	1	591	1	1		1	1	1		20000000	150000		2					50113311	89.5902420575551
5011332	1	1	591	1	4							200000		2					50113321	86.0390403396107
5011334	1	1	591	1	1		2				10000000	150000		2					50113341	89.3744880283774
5011335	1	1	591	1	1		1	1	1		55000000	150000		2					50113351	202.787662507194
5011337	1	1	591	1	1		1	1	1		40000000	200000		2					50113371	76.285547005456
5011338	1	1	591	1	1		2				100000000	370000		2					50113381	95.0590606423445
5011339	1	1	591	1	4							400000		2					50113391	65.5586501034599
5011341	1	1	591	1	4							140000		2					50113411	101.41461403743
5011342	1	1	591	1	1		2				300000000	500000		2					50113421	87.4312255223478
5011343	1	1	591	1	3								250000	2					50113431	86.0390403396107
5011344	1	1	591	1	3								300000	2					50113441	96.3097974990984
5011345	1	1	591	1	3								300000	2					50113451	97.8469999843165
5011347	1	1	591	1	4							500000		2					50113471	96.3097974990984
5011351	1	1	591	1	4							60000		2					50113511	171.173800807331
5011352	1	1	591	1	1		2				7000000	180000		2					50113521	142.361460934249
5011353	1	1	591	1	3								400000	2					50113531	101.41461403743
5011354	1	1	591	1	1		1	1	1		100000000	300000		2					50113541	198.511195004445
5011355	1	1	591	1	4							450000		2					50113551	113.376434536725
5011356	1	1	591	1	1		1	3			20000000	200000		2					50113561	101.41461403743
5011357	1	1	591	1	4							400000		2					50113571	89.975026887846
5011359	1	1	591	1	4							150000		2					50113591	85.5869004036657
5011360	1	1	591	1	3								60000	2					50113601	87.6224445045494
5011363	1	1	591	1	1		1	1	1		90000000	300000		2					50113631	179.18048411511
5011365	1	1	591	1	1		2				30000000	250000		2					50113651	80.9342238012792
5011366	1	1	591	1	1		1	1	1		40000000	200000		2					50113661	87.0402380698235
5011367	1	1	591	1	1		1	1	6		50000000	300000		2					50113671	88.8379908666844
5011368	1	1	591	1	3								400000	2					50113681	84.8702103495144
5011369	1	1	591	1	1		1	2		2	20000000	200000		2					50113691	87.0610208536565
5011370	1	1	591	1	3								300000	2					50113701	101.393831253597
5011371	1	1	591	1	1		1	1	2		50000000	300000		1	1	25000000	2		50113711	91.7136974560431
5011372	1	1	591	1	1		1	1	1		20000000	440000		2					50113721	82.4331268416664
5011373	1	1	591	1	3								350000	2					50113731	96.2071078486078
5011374	1	1	591	1	1		2				10000000	100000		2					50113741	85.5869004036657
5011375	1	1	591	1	4							100000		2					50113751	107.397155871651
5011376	1	1	591	1	1		1	1	2		20000000	250000		2					50113761	86.0182575557777
5011377	1	1	591	1	3								150000	2					50113771	86.4743972982862
5011378	1	1	591	1	3								100000	2					50113781	72.3703432410538
5011379	1	1	591	1	2	300000	1	1	2		60000000	300000		2					50113791	87.4312255223478
5011380	1	1	591	1	4							150000		2					50113801	86.0390403396107
5011381	1	1	591	1	3								250000	2					50113811	96.0810411563903
5011382	1	1	591	1	1		1	1	2		25000000	250000		2					50113821	104.791771192666
5011383	1	1	591	1	1		1	1	3		50000000	300000		2					50113831	89.975026887846
5011384	1	1	591	1	5							250000		2					50113841	89.5902420575551
5011386	1	1	591	1	1		1	1	2		70000000	250000		2					50113861	84.2774519603484
5011387	1	1	591	1	1		1	1	3		40000000	300000		2					50113871	80.9342238012792
5011389	1	1	591	1	3								200000	2					50113891	76.8513877769934
5011390	1	1	591	1	5							350000		2					50113901	101.41461403743
5011391	1	1	591	1	1		1	1	1		30000000	200000		2					50113911	84.8702103495144
5011392	1	1	591	1	3								350000	2					50113921	73.6703907277403
5011394	1	1	591	1	3								150000	2					50113941	98.8624750224662
5011395	1	1	591	1	1		2				30000000	200000		2					50113951	101.41461403743
5011396	1	1	591	1	3								150000	2					50113961	81.3903635437876
5011397	1	1	591	1	1		1	1	1		30000000	150000		2					50113971	81.3903635437876
5011398	1	1	591	1	4							200000		2					50113981	70.724590724616
5011399	1	1	591	1	3								400000	2					50113991	75.74750039629
5011400	1	1	591	1	1		1	1	1		35000000	700000		2					50114001	87.4312255223478
5011401	1	1	591	1	3								300000	2					50114011	92.9000441071372
5011404	1	1	591	1	3								250000	2					50114041	72.3703432410538
5011405	1	1	591	1	4							400000		2					50114051	89.975026887846
5011406	1	1	591	1	1		1	1	1		40000000	200000		2					50114061	99.2555975022226
5011408	1	1	591	1	1		2				110000000	500000		2					50114081	95.0590606423445
5011409	1	1	591	1	1		1	1	1		25000000	350000		2					50114091	95.0590606423445
5011411	1	1	591	1	3								200000	2					50114111	77.4543769955523
5011412	1	1	591	1	1		2				120000000	500000		2					50114121	99.2555975022226
5011413	1	1	591	1	4							80000		2					50114131	202.82922807486
5011414	1	1	591	1	1		2				70000000	700000		2					50114141	75.295360460345
5011415	1	1	591	1	1		1	1	1		200000000	400000		2					50114151	101.099922620905
5011416	1	1	591	1	3								200000	2					50114161	89.5902420575551
5011417	1	1	591	1	3								100000	2					50114171	87.0402380698235
5011418	1	1	591	1	1		1	1	1		15000000	100000		1	2		1	7000000	50114181	85.4254991666117
5011419	1	1	591	1	3								450000	2					50114191	93.9110134360812
5011420	1	1	591	1	1		1	1	1		18000000	250000		2					50114201	89.5902420575551
5011422	1	1	591	1	4							400000		2					50114221	85.5869004036657
5011423	1	1	591	1	1		1	2		2	90000000	500000		2					50114231	81.3634459261589
5011424	1	1	591	1	3								130000	2					50114241	82.5384107500509
5011425	1	1	591	1	2	500000	2				80000000	450000		2					50114251	96.1018239402233
5011426	1	1	591	1	3								150000	2					50114261	101.41461403743
5011427	1	1	591	1	1		1	1	1		200000000	300000		2					50114271	76.306329789289
5011428	1	1	591	1	1		1	1	1		20000000	150000		2					50114281	85.5869004036657
5011429	1	1	591	1	3								100000	2					50114291	81.3903635437876
5011430	1	1	591	1	1		1	1	1		30000000	250000		2					50114301	85.5869004036657
5011431	1	1	591	1	3								400000	2					50114311	51.86917022107
5011433	1	1	591	1	3								400000	2					50114331	87.0610208536565
5011434	1	1	591	1	4							200000		2					50114341	115.083311135987
5011436	1	1	591	1	1		1	1	1		150000000	300000		2					50114361	630.276416351656
5011437	1	1	591	1	1		1	1	1		300000000	800000		2					50114371	930.12665396604
5011438	1	1	591	1	4							150000		2					50114381	548.843454681264
5011439	1	1	591	1	1		1	1	1		200000000	600000		2					50114391	443.811793458823
5011440	1	1	591	1	4							100000		2					50114401	1010.32264385196
5011441	1	1	591	1	3								80000	2					50114411	910.891068735603
5011442	1	1	591	1	4							100000		2					50114421	849.726087826139
5011443	1	1	591	1	4							1000000		2					50114431	948.78856782711
5011444	1	1	591	1	4							300000		2					50114441	443.811793458823
5011445	1	1	591	1	4							300000		2					50114451	948.78856782711
5011446	1	1	591	1	4							300000		2					50114461	948.78856782711
5011447	1	1	591	1	1		1	1	1		60000000	200000		2					50114471	653.673849092857
5011448	1	1	591	1	1		1	1	2		80000000	400000		2					50114481	734.142868141554
5011449	1	1	591	1	1		1	1	5		80000000	250000		2					50114491	869.640576376271
5011450	1	1	591	1	3								150000	2					50114501	1154.92051734937
5011450	2	1	591	2	4							150000		2					50114502	1154.92051734937
5011451	1	1	591	1	3								350000	2					50114511	1207.07125066354
5011452	1	1	591	1	1		1	1	2		70000000	300000		2					50114521	443.811793458823
5011452	2	1	591	2	3								150000	2					50114522	443.811793458823
5011452	3	1	591	3	3								120000	2					50114523	443.811793458823
5011453	1	1	591	1	5							200000		2					50114531	491.546933290291
5011454	1	1	591	1	3								300000	2					50114541	535.21234679242
5011455	1	1	591	1	4							250000		2					50114551	948.78856782711
5011456	1	1	591	1	4							50000		2					50114561	558.244688725006
5011457	1	1	591	1	1		1	1	1		40000000	150000		2					50114571	362.994745830865
5011458	1	1	591	1	3								30000	2					50114581	491.818306478499
5011459	1	1	591	1	3								50000	2					50114591	712.722472225791
5011460	1	1	591	1	1		1	1	2		70000000	200000		2					50114601	459.129811318066
5011461	1	1	591	1	1		1	1	1		100000000	100000		2					50114611	239.419587543674
5011462	1	1	591	1	1		1	1	1		50000000	150000		2					50114621	239.419587543674
5011463	1	1	591	1	4							80000		2					50114631	425.923863278051
5011464	1	1	591	1	1		1	1	1		100000000	300000		2					50114641	239.419587543674
5011465	1	1	591	1	1		1	1	1		300000000	60000		2					50114651	239.419587543674
5011466	1	1	591	1	4							50000		2					50114661	292.367626092744
5011467	1	1	591	1	1		1	1	1		30000000	100000		2					50114671	428.674099619637
5011469	1	1	591	1	1		1	1	1		30000000	100000		2					50114691	266.415853584457
5011470	1	1	591	1	1		1	1	1		20000000	70000		2					50114701	352.65942412683
5011471	1	1	591	1	3								50000	2					50114711	383.007311298675
5011472	1	1	591	1	3								100000	2					50114721	623.728665341833
5011473	1	1	591	1	3								115000	2					50114731	441.653231010788
5011474	1	1	591	1	1		1	1	1		50000000	300000		2					50114741	1009.75909649066
5011475	1	1	591	1	1		1	1	1		40000000	300000		2					50114751	252.439774122665
5011480	1	1	591	1	3								100000	2					50114801	353.886575487383
5011482	1	1	591	1	4							350000		2					50114821	499.440207074679
5011483	1	1	591	1	1		1	1	1		50000000	200000		2					50114831	342.236164043953
5011484	1	1	591	1	1		2				7000000	80000		2					50114841	262.096171676819
5011485	1	1	591	1	1		1	1	2		5000000	300000		2					50114851	262.096171676819
5011486	1	1	591	1	1		1	1	2		70000000	500000		2					50114861	262.096171676819
5011487	1	1	591	1	3								200000	2					50114871	262.096171676819
5011488	1	1	591	1	3								300000	2					50114881	440.055944615524
5011489	1	1	591	1	3								200000	2					50114891	1048.38468670728
