"DIRECTORIO","CANT_HOG_COMPLETOS","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P1070","P4005","P4015","P4567","P8520","P8520S1","P8520S1A1","P8520S3","P8520S4","P8520S4A1","P8520S5","P4065","P4065S1","P4065S2","P4065S3","P4065S4","P5661","P5661S1","P5661S2","P5661S3","P5661S4","P5661S5","P5661S6","P5661S7","P5661S9","P1891","P1891S1","P1891S2","P1891S3","P1891S4","P1891S5","P1_DEPARTAMENTO","FEX_C","CLASE"
6000049,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,2,1,1,1,1.79769313486232e+308,2,2,2,2,2,"68",1896.6395410426,1
6000050,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"68",2389.09896144105,1
6000051,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"68",2918.48042682157,1
6000052,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,3,1,1,1.79769313486232e+308,1,1,2,2,2,"68",1611.55194865214,1
6000053,1,1,1,1,2,1,6,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,1,1,1.79769313486232e+308,1,2,2,2,2,"68",2347.70059775214,1
6000054,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,2,2,2,1,1.79769313486232e+308,2,2,2,2,2,"68",2157.382600729,1
6000055,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,2,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"68",1844.38940895651,1
6000056,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,1,1,1,1,1,1.79769313486232e+308,1,1,1,2,1,"54",1972.38982829102,1
6000057,1,1,1,1,2,1,4,4,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,3,4,1,3,3,1,1.79769313486232e+308,2,1,1,2,1,"54",3217.76447283289,1
6000058,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,2,"54",2493.25741164453,1
6000059,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,2,1,1,1.79769313486232e+308,2,2,2,2,2,"54",2634.29064486908,1
6000060,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,3,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"54",2106.83011563794,1
