"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P5095","P5100","P5120","P8692","P8692S1A1","P8692S2","P5110","P5130","P5140","P5160","P5160S1","P5160S1A1","P5160S2","P5160S2A1","LLAVEHOG","FEX_C"
6010391,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,500000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103911",16.7688687126869
6010392,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,99,300000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103921",33.1806504498958
6010393,1,1,1,1,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,20000000,200000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103931",27.487704412829
6010394,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,300000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103941",30.6988823624432
6010395,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,95000000,550000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103951",33.1806504498958
6010396,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,400000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103961",48.9899607592699
6010397,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,450000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103971",20.6113738638862
6010398,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,850000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103981",30.9872254256358
6010399,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,99,700000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60103991",41.1172883863075
6010400,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,370000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104001",41.1172883863075
6010401,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,120000000,1000000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104011",32.2117135522202
6010402,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,120000000,500000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104021",28.0765190510849
6010403,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,90000000,600000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104031",29.3010071776693
6010404,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,60000000,400000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104041",32.8381313246692
6010405,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,99,99,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104051",34.0626194512536
6010406,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,780000000,600000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104061",25.2995508550556
6010407,1,1,1,1,1.79769313486232e+308,1,2,1.79769313486232e+308,2,340000000,600000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104071",29.3010071776693
6010408,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,450000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104081",56.1651643374387
6010409,1,1,1,6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,99,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104091",20.6113738638862
6010410,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,99,900000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104101",20.6113738638862
6010411,1,1,1,1,1.79769313486232e+308,1,1,1,1.79769313486232e+308,120000000,700000,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104111",16.7688687126869
6010412,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,600000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104121",16.0962591750844
6010413,1,1,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,250000,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"60104131",62.1364010342544
