DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P5000	P5010	P5016	P5016S2	P5016S3	P5016S4	P5016S5	P5016S6	P5666	P8526	P5022	P5024	P5030	P1892	P1892S1	P1892S2	P1892S3	P1892S4	P1893	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P5012S8	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	LLAVEHOG	FEX_C	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU
6000066	1	1	1	4	2				1			2	1	1	1	1		1		1		1	1	2										1	1	2	1	2	2	2	1	1	2	1	1		4	2		1	60000661	154.046845828318	3	2320600	2320600	773533.333333333	0
6000067	1	1	1	2	1				1			2	1	1	1	1			1	1		1	1	2										1	1	2	2	2	1	2	1	1	2	1	1		4	2		2	60000671	164.182747137995	2	700000	700000	350000	0
6000068	1	1	1	4	2		1					2	1	2	1	1		1	1	1		1	1	2										1	1	1	1	1	2	1	1	1	2	2	1		4	1	6	1	60000681	164.182747137995	2	2141666.66666667	2141666.66666667	1070833.33333333	0
6000069	1	1	1	2	2					1		2	1	1	1	1			1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	1		4	1	6	2	60000691	160.236074023735	5	881666.666666667	881666.666666667	176333.333333333	0
6000070	1	1	1	2	1				1			2	1	1	1	1		1	1	1		1	1	2										1	1	2	1	2	2	2	2	1	2	1	1		4	2		2	60000701	173.892618939397	3	320000	320000	106666.666666667	0
6000071	1	1	1	3	2					1		2	1	1	2	1		1	1	1		1	1	2										1	1	1	1	1	2	2	1	1	1	4	1		4	2		2	60000711	282.716162215482	8	2364666.66666667	2364666.66666667	295583.333333333	0
6000072	1	1	1	3	1				1			2	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	2	2	1		4	2		2	60000721	310.654044424003	1	1218333.33333333	1218333.33333333	1218333.33333333	0
6000073	1	1	1	3	2		1	1				2	1	1	1	1			1	1		1	1	2										1	1	1	1	1	2	2	2	1	1	6	1		4	2		2	60000731	246.492172233645	2	1605000	1605000	802500	0
6000074	1	1	1	3	2				1			2	1	1	1	1				1		1	1	2										2	1	1	2	2	1	2	2	1	1	1	3		4	2		2	60000741	522.094937187259	3	776666.666666667	776666.666666667	258888.888888889	0
6000075	1	1	1	4	3		1	1			1	2	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	1	1	1	1	1	2	1		4	2		1	60000751	445.602682790059	4	2533333.33333333	2533333.33333333	633333.333333333	0
6000076	1	1	1	2	1		1	1				2	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	2	3		4	2		2	60000761	246.492172233645	1	1400000	1400000	1400000	0
6000077	1	1	1	2	1		1	1			1	2	1	1	1	1			1			1	1	2										1	1	1	2	1	2	2	1	1	2	1	1		4	2		2	60000771	445.602682790059	4	1470000	1470000	367500	0
6000079	1	1	1	3	1		1	1				2	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	1	1	2	1		4	2		2	60000791	310.654044424003	1	775000	775000	775000	0
