DIRECTORIO	NRO_ENCUESTA	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P3	P5660	P1070	P4005	P4015	P4567	P8520	P8520S1	P8520S1A1	P8520S3	P8520S4	P8520S4A1	P8520S5	P4065	P4065S1	P4065S2	P4065S3	P4065S4	P5661	P5661S1	P5661S2	P5661S3	P5661S4	P5661S5	P5661S6	P5661S7	P5661S8	CANT_HOG_COMPLETOS	P1_DEPARTAMENTO	REGION	REGION_BUENAVENTURA	FEX_C
5000181	590	1	1	1	1	09-09-2016 00:00:00	1	1	4	3		1	1	1	1	1	1		2	2	1	2			1	1	1					1	44	1		596.026480697694
5000182	590	1	1	1	1	09-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2			1					1		1	44	1		760.676626883571
5000183	590	1	1	1	1	09-09-2016 00:00:00	1	1	6	3		1	2	1	2		1		2	2	2	2			1	1	1			1		1	44	1		764.813648626481
5000184	590	1	1	1	1	11-09-2016 00:00:00	1	1	6	3		1	1	2	1	3	1		2	2	2	2		1	1	1	1	1	1	1		1	44	1		878.278315287596
5000185	590	1	1	1	1	11-09-2016 00:00:00	1	2	7	4		1	1	2	1	3	1		2	2	2	1			1	1	1		1			1	44	1		878.278315287596
5000186	590	1	1	1	1	11-09-2016 00:00:00	1	2	7	4		1	1	2	2		1		2	2	2	2			1					1		1	44	1		1236.35422954562
5000188	590	1	1	1	1	12-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2			1	1	1					1	44	1		683.301373190026
5000189	590	1	1	1	1	12-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2								1		1	44	1		713.628169101719
5000190	590	1	1	1	1	12-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2			1	1	1					1	44	1		702.686535852624
5000191	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	3		1	9	2	1	6	2		2	2	2	2		1								1	88	8		34.2595094200724
5000192	590	1	1	1	1	08-09-2016 00:00:00	1	1	4	3		1	9	1	1	6	2		2	2	2	2			1							1	88	8		32.1220066634006
5000193	590	1	1	1	1	09-09-2016 00:00:00	2	1	6	4		1	3	2	1	3	1		1	2	2	2				1						1	88	8		29.2138837522614
5000194	590	1	1	1	1	09-09-2016 00:00:00	2	1	4	3		1	9	1	1	6	1		2	2	2	2			1							1	88	8		25.9036531521308
5000195	590	1	1	1	1	10-09-2016 00:00:00	1	1	4	3		1	9	2	1	3	2		2	2	2	2									1	1	88	8		28.7016993826592
5000196	590	1	1	1	1	10-09-2016 00:00:00	1	1	6	1		1	3	2	1	3	1		1	2	2	2									1	1	88	8		32.7788382297128
5000199	590	1	1	1	1	10-09-2016 00:00:00	1	1	6	1		1	3	2	1	3	1		1	2	2	2									1	1	88	8		41.4965917225506
5000200	590	1	1	1	1	10-09-2016 00:00:00	1	1	4	5		1	2	2	1	3	1		2	2	1	2		1						1		1	88	8		34.1691721507231
5000201	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2		1	1							1	11	5		1159.05542615711
5000202	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2		1								1	11	5		1313.15036794487
5000203	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	1	1	1	3	1		2	2	2	2							1			1	11	5		1516.41322710942
5000205	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	2	1	1	3	1		2	2	2	2					1					1	11	5		1301.13830230774
5000206	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	1		1	1	1	1	3	1		2	2	2	2									1	1	11	5		1728.74226387022
5000207	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	2	1	1	3	1		2	2	2	2					1					1	11	5		1159.05542615711
5000208	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2				1	1					1	11	5		1371.38446291791
5000209	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	1		1	3	1	1	2	1		2	2	2	2		1	1		1	1	1	1		1	11	5		1243.62047708904
5000210	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	2	1	1	3	1		2	2	2	2					1	1				1	11	5		1143.28682560882
5000211	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	2	1	1	2	1		2	2	2	1									1	1	11	5		1574.64732208246
5000214	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	3	1	1	3	1		2	2	2	1		1		1						1	11	5		1817.49407751887
5000215	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	1		1	3	1	1	7	1		2	2	2	2		1								1	11	5		1634.87923378213
5000216	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	3	1	1	3	1		2	2	2	2		1	1	1	1			1		1	11	5		1243.62047708904
5000217	590	1	1	1	1	07-09-2016 00:00:00	1	1	6	4		1	3	1	1	3	1		2	2	2	2			1			1				1	11	5		1300.35878027451
5000218	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	3	1	1	3	1		2	2	2	2		1	1	1						1	11	5		1313.15036794487
5000219	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	3	1	1	7	1		2	2	2	2			1	1						1	11	5		1243.62047708904
5000220	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	3	1	1	1	1		2	2	2	2		1								1	11	5		1274.54441995189
5000221	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2					1	1				1	11	5		1159.05542615711
5000222	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	3	1	1	3	1		2	2	2	2		1	1	1						1	11	5		1817.49407751887
5000223	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	1		1	3	1	1	3	1		2	2	2	2		1	1	1	1					1	11	5		1332.06224517059
5000224	590	1	1	1	1	08-09-2016 00:00:00	1	1	4	1		1	2	1	1	3	1		2	2	2	2									1	1	11	5		1243.62047708904
5000225	590	1	1	1	1	08-09-2016 00:00:00	1	1	6	1		1	2	1	1	3	1		2	2	2	2			1	1						1	11	5		1066.80837009505
5000226	590	1	1	1	1	08-09-2016 00:00:00	1	1	4	1		1	3	1	1	3	1		2	2	2	2		1	1	1						1	11	5		1225.63942897206
5000227	590	1	1	1	1	08-09-2016 00:00:00	1	1	4	1		1	3	1	1	3	1		2	2	2	2			1		1					1	11	5		1301.13830230774
5000229	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2			1		1	1	1			1	11	5		1699.02807084616
5000230	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2		1								1	11	5		1308.44537569267
5000231	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2									1	1	11	5		1516.41322710942
5000232	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2									1	1	11	5		1703.3892561902
5000233	590	1	1	1	1	08-09-2016 00:00:00	1	1	4	1		1	3	1	1	3	1		2	2	2	2		1	1	1	1		1			1	11	5		1159.05542615711
5000234	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2			1	1		1				1	11	5		1159.05542615711
5000235	590	1	1	1	1	11-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2		1		1						1	11	5		1411.374583377
